lat	long	cold.sst	warm.sst	NumSp	E200
49.88	-24.24	14.39	23.51	13	11.40034924
49.88	-24.24	16.83	26.98	13	11.18896677
49.88	-24.24	21.17	27.09	13	11.76689313
49.88	-24.24	20.61	28.41	14	13.04091477
49.88	-24.24	20.25	25.56	14	13.09679698
49.88	-24.24	20.49	28.57	16	13.8156148
49.88	-24.24	19.97	27.79	16	14.28766026
49.88	-24.24	15.88	26.36	14	12.59644938
49.88	-24.24	18.77	27.69	12	11.38328821
49.88	-24.24	20.33	27.41	12	11.23320136
49.88	-24.24	20.83	27.42	15	14.31404966
53.22	-18.89	13.05	23.7	12	11.00716345
53.22	-18.89	12.33	21.62	12	10.99320351
53.22	-18.89	13.03	23.5	11	10.25428332
53.22	-18.89	12.58	22.21	12	10.41491902
53.22	-18.89	12.43	22.88	15	13.10378346
53.22	-18.89	14.1	25.11	13	12.14569108
53.22	-18.89	9.58	18.88	14	12.90895219
53.22	-18.89	13.18	21.55	12	11.36394254
53.22	-18.89	7.53	12.55	11	10.39373002
53.22	-18.89	10.63	19.64	13	12.29848829
53.22	-18.89	13.8	24.94	13	12.47453294
53.22	-18.89	11.57	20.18	17	14.09206702
53.22	-18.89	12.09	20.88	12	10.98625466
53.22	-18.89	10.35	19.97	11	9.857801574
53.22	-18.89	12.1	21.05	14	11.73071742
53.22	-18.89	11.34	20.24	14	13.10359895
53.22	-18.89	16.33	25.85	15	14.77534188
53.22	-18.89	17.37	27.02	13	12.76415353
53.22	-18.89	14.87	24.76	17	16.11297934
53.22	-18.89	15.79	26.58	16	15.44548969
53.22	-18.89	14.59	25.17	12	11.18760305
53.22	-18.89	14.5	24.56	16	13.78169615
53.22	-18.89	8.76	17.32	12	11.5145873
53.22	-18.89	10.41	19.67	13	11.94455359
53.22	-18.89	14.68	26.03	11	10.79986443
53.22	-18.89	14.98	25.14	13	11.93477206
53.22	-18.89	16.13	26.22	11	10.0007473
53.22	-18.89	14.82	24.77	12	11.64978396
18.08	-21.03	23.62	29.5	20	17.72088134
18.08	-21.03	22.72	28.8	23	19.87910332
18.08	-21.03	26.21	27.91	18	16.25171713
