lat	long	cold.sst	warm.sst	NumSp	E200
0.17	-23	24.5	27.2	18	16.2085263
42.1	-52.75	12.7	18.6	15	13.81415214
50	-23.75	12.7	19.2	13	11.7980659
33.58	-62.38	17.3	24.8	20	18.60163652
20.48	-95.62	22.5	27.6	21	19.94860373
21.43	-93.95	22.3	27	21	19.87094055
17	-74.4	24.5	27.5	17	15.78015248
13.83	-18.97	20.9	27.8	18	15.59061584
1.37	-33.48	23.9	27.8	20	18.35576957
54	-46.2	5.2	9	5	4.822652258
11.65	-80.13	23.5	28.3	16	15.54992907
44	-24.53	15.9	20	12	11.91575405
41	-32.93	14.5	20.7	16	14.32837937
